ID,Start Time,End Time,Which age group do you belong to?,Can you read and understand English texts without translation assistance?,Answer for Comprehension Quiz,How mentally demand was the task?,How hard did you have to work to accomplish your level of performance?,"How insecure, discouraged, irritated, stressed, and annoyed were you?",How difficult was it for you to understand the veterinary treatment decision?,The explanation should be trusted.,The explanation is safe to rely on.,The explanation is reliable.,I am wary of the explanation.,The explanation of why the vet chose this treatment is satisfying.,The explanation of why the vet chose this treatment went into enough detail.,It is clear to me why the vet chose this particular treatment.,"Please share any comments or feedback about your experience reading the ""Summary"" and ""Explanatory Cards"". (Optional)",Reason for why prefer contrastive explanation?
1,7/24/26 1:32:05,7/24/26 1:35:23,25-34,I can understand only simple English texts,Oral or injected medicine can't reach the ear canal in high enough amounts.,4,4,4,4,4,4,4,2,4,4,4,,-
2,7/24/26 2:59:15,7/24/26 3:05:33,35-44,I can understand only simple English texts,A long-acting product wasn't needed for daily home care.,5,4,4,4,4,4,4,4,4,4,4,,感覺第二種比較好理解
3,7/24/26 15:35:45,7/24/26 15:57:48,35-44,I can understand only simple English texts,Oral or injected medicine can't reach the ear canal in high enough amounts.,6,6,5,4,4,4,5,4,6,6,7,,綜合看起來好像比較專業
4,7/25/26 3:54:18,7/25/26 3:56:41,25-34,I can understand only simple English texts,Oral or injected medicine can't reach the ear canal in high enough amounts.,6,6,6,6,5,5,5,2,5,5,5,,-
5,7/24/26 6:43:24,7/24/26 7:46:44,25-34,I can understand only simple English texts,Oral or injected medicine can't reach the ear canal in high enough amounts.,5,5,5,4,7,7,7,3,7,5,6,"the interface is simple and easy to understand, and it's great that i don't see any highlighter marker haha","the interface is better, and word more easy to understand, thanks!"
6,7/24/26 14:52:32,7/24/26 14:59:45,25-34,I can understand only simple English texts,Oral or injected medicine can't reach the ear canal in high enough amounts.,5,5,4,4,5,5,5,1,5,5,5,,比較好理解
7,7/24/26 8:56:20,7/24/26 9:16:34,35-44,I can understand only simple English texts,"Without antifungal action, it couldn't clear the yeast.",4,4,3,3,5,5,5,2,5,5,6,,比較能理解
8,7/30/26 15:33:28,7/30/26 15:43:33,25-34,I can understand only simple English texts,Oral or injected medicine can't reach the ear canal.,6,6,6,5,5,5,4,3,4,5,5,我覺得內容有點多,-
9,7/24/26 13:34:26,7/24/26 13:35:40,25-34,I can understand only simple English texts,A long-acting product wasn't needed for daily home care.,6,3,3,2,6,6,6,2,6,6,7,,比較淺白易懂
10,7/25/26 3:05:41,7/25/26 9:19:01,25-34,I can understand only simple English texts,"Without antifungal action, it couldn't clear the yeast.",1,1,1,1,7,7,7,1,7,7,7,,"對於選擇治療藥物決策有更仔細的原因說明。多數飼主會將""感染""產出的相關症狀聯想至抗生素治療。第二份獸醫決策說明有提及單使用抗素並不能治療哪些症狀，所以選擇combination-medicine。以飼主的心態會更加理解醫師決策並遵循，增加信任度。
"
